"observationDate","stateProvince","decimalLatitude","decimalLongitude","scientificName","vernacularName","dataResourceName","basisOfRecord","recordID"
2013-04-01,"New South Wales",-33.89,150.89,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","1f633709-0c1b-486d-9ec7-051fe0e738e5"
2013-05-04,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","2e596bd5-570a-40c4-b4ba-7a4bc9d1468a"
2015-03-14,"New South Wales",-33.9,151.13,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","0224d921-e6e3-48e3-aa54-64a38bf60ab1"
2015-03-19,"New South Wales",-33.76,150.74,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","0fc8e1ca-0b26-43cd-b3e1-9eaf1aeacd40"
2017-03-25,"New South Wales",-33.871764,151.211074,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","2cc7597d-44e4-4714-90b5-7bbac7bbd9e4"
2013-05-08,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","ba3e3d54-0ecc-4b5e-b5fd-2cb3c040b54b"
2013-05-07,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","21518298-4fb6-468e-b223-04877d8c9ced"
2015-04-01,"New South Wales",-34.18,150.69,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","f5011d8f-7cc3-4fc2-bd16-872db4d053b2"
2013-05-12,"Australian Capital Territory",-35.3,149.1,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","fe688bf6-b13e-405f-a55c-e64ee6d11c4d"
2013-05-02,"New South Wales",-33.62,150.75,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","8fe3b641-c14f-4b32-8519-99b4bbbd801d"
2013-03-30,"New South Wales",-33.95,150.77,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","7d7e41b3-c3ae-40ad-a6d8-baec84b4d51e"
2017-03-27,"New South Wales",-33.615287,150.750341,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","5d3ebb5b-89f1-49f5-9fa0-418ec26e2ce0"
2015-03-21,"New South Wales",-34.1,150.79,"Lathamus discolor","Swift Parrot","ClimateWatch","OBSERVATION","1e231373-0ccc-45a0-98cc-ad1a7a30f3bd"
